UniProt	SwissProt	Chembl	Annotation
CEL2A_PIG	P08419	CHEMBL2407	Elastase 2A, Pig
CEL2A_RAT	P00774	CHEMBL3888	Elastase 2A, Rat
CEL2B_HUMAN	P08218	CHEMBL3887	Elastase 2B, Human
CEL3A_HUMAN	P09093	CHEMBL2809	Elastase IIIA, Human
CEL3B_HUMAN	P08861	CHEMBL4995	Elastase IIIB, Human
CELA1_HUMAN	Q9UNI1	CHEMBL3000	Elastase 1, Human
CELA1_PIG	P00772	CHEMBL3517	Elastase 1, Pig
CEL_BOVIN	P30122	CHEMBL2988	Cholesterol Esterase, Bovin
CEL_HUMAN	P19835	CHEMBL3219	Cholesterol Esterase, Human
CETP_HUMAN	P11597	CHEMBL3572	Cholesteryl Ester Transfer Protein, Human
CETP_RABIT	P22687	CHEMBL1163116	Cholesteryl Ester Transfer Protein, Rabit
CFAB_HUMAN	P00751	CHEMBL5731	Complement Factor B, Human
CFTR_HUMAN	P13569	CHEMBL4051	Cystic Fibrosis Transmembrane Conductance Regulator, Human
CHIA_HUMAN	Q9BZP6	CHEMBL1293197	Acidic Mammalian Chitinase, Human
CHIA_SERMA	P07254	CHEMBL5423	Chitinase A, Serma
CHIB_SERMA	P11797	CHEMBL5348	Chitinase B, Serma
CHIO_HUMAN	P52757	CHEMBL4504	Rho-GTPase-activating Protein 3, Human
CHIT_YEAST	P29029	CHEMBL1293195	Endochitinase, Yeast
CHK1_HUMAN	O14757	CHEMBL4630	Serine/threonine-protein Kinase Chk1, Human
CHK2_HUMAN	O96017	CHEMBL2527	Serine/threonine-protein Kinase Chk2, Human
CHKA_HUMAN	P35790	CHEMBL3117	Choline Kinase Alpha, Human
CHLE_HORSE	P81908	CHEMBL5763	Cholinesterase, Horse
CHLE_HUMAN	P06276	CHEMBL1914	Butyrylcholinesterase, Human
CHLE_MOUSE	Q03311	CHEMBL2528	Butyrylcholinesterase, Mouse
CHS1_CANAX	P23316	CHEMBL3480	Chitin Synthase 1, Canax
CHS1_YEAST	P08004	CHEMBL3827	Chitin Synthase 1, Yeast
CHS2_YEAST	P14180	CHEMBL3828	Chitin Synthase 2, Yeast
CHS3_YEAST	P29465	CHEMBL5597	Chitin Synthase 3, Yeast
CISD1_HUMAN	Q9NZ45	CHEMBL1795168	CDGSH Iron-sulfur Domain-containing Protein 1, Human
CKX2_ARATH	Q9FUJ3	CHEMBL6133	Cytokinin Dehydrogenase 2, Arath
CLAT_HUMAN	P28329	CHEMBL4039	Choline Acetylase, Human
CLAT_RAT	P32738	CHEMBL3945	Choline Acetylase, Rat
CLK1_HUMAN	P49759	CHEMBL4224	Dual Specificty Protein Kinase CLK1, Human
CLK1_MOUSE	P22518	CHEMBL1075280	Dual Specificity Protein Kinase CLK1, Mouse
CLK2_HUMAN	P49760	CHEMBL4225	Dual Specificity Protein Kinase CLK2, Human
CLK2_MOUSE	O35491	CHEMBL1075281	Dual Specificity Protein Kinase CLK2, Mouse
CLK3_HUMAN	P49761	CHEMBL4226	Dual Specificity Protein Kinase CLK3, Human
CLK3_MOUSE	O35492	CHEMBL1075282	Dual Specificity Protein Kinase CLK3, Mouse
CLK4_HUMAN	Q9HAZ1	CHEMBL4203	Dual Specificity Protein Kinase CLK4, Human
CLK4_MOUSE	O35493	CHEMBL1075283	Dual Specificity Protein Kinase CLK4, Mouse
CLTR1_CAVPO	Q2NNR5	CHEMBL5645	Cysteinyl Leukotriene Receptor 1, Guinea Pig
CLTR1_HUMAN	Q9Y271	CHEMBL1798	Cysteinyl Leukotriene Receptor 1, Human
CLTR2_HUMAN	Q9NS75	CHEMBL4330	Cysteinyl Leukotriene Receptor 2, Human
CMA1_HUMAN	P23946	CHEMBL4068	Chymase, Human
CMA1_RAT	P50339	CHEMBL3168	Mast Cell Protease 3, Rat
CNCG_BOVIN	P22571	CHEMBL4606	Phosphodiesterase 6H, Bovin
CNCG_HUMAN	Q13956	CHEMBL2341	Phosphodiesterase 6H, Human
CNGA1_BOVIN	Q00194	CHEMBL4907	CGMP-gated Cation Channel Alpha 1, Bovin
CNR1_HUMAN	P21554	CHEMBL218	Cannabinoid CB1 Receptor, Human
CNR1_MOUSE	P47746	CHEMBL3037	Cannabinoid CB1 Receptor, Mouse
CNR1_RAT	P20272	CHEMBL3571	Cannabinoid CB1 Receptor, Rat
CNR2_HUMAN	P34972	CHEMBL253	Cannabinoid CB2 Receptor, Human
CNR2_MOUSE	P47936	CHEMBL5373	Cannabinoid CB2 Receptor, Mouse
CNR2_RAT	Q9QZN9	CHEMBL2470	Cannabinoid CB2 Receptor, Rat
CNRG_BOVIN	P04972	CHEMBL5111	Phosphodiesterase 6G, Bovin
CNRG_HUMAN	P18545	CHEMBL2415	Phosphodiesterase 6G, Human
COLA_CLOPE	P43153	CHEMBL2802	Microbial Collagenase, Clope
COMT_HUMAN	P21964	CHEMBL2023	Catechol O-methyltransferase, Human
COMT_RAT	P22734	CHEMBL2372	Catechol O-methyltransferase, Rat
COX1_HUMAN	P00395	CHEMBL6173	Cytochrome C Oxidase Subunit 1, Human
COX1_SHEEP	O78749	CHEMBL6011	Cytochrome C Oxidase Subunit 1, Sheep
COX2_HUMAN	P00403	CHEMBL6174	Cytochrome C Oxidase Subunit 2, Human
COX2_SHEEP	O78750	CHEMBL1250404	Cytochrome C Oxidase Subunit 2, Sheep
CP11A_BOVIN	P00189	CHEMBL4813	Cytochrome P450 11A1, Bovin
CP11A_RAT	P14137	CHEMBL5246	Cytochrome P450 11A1, Rat
CP121_MYCTU	P0A514	CHEMBL1681615	Cytochrome P450 121, Myctu
CP17A_HUMAN	P05093	CHEMBL3522	Cytochrome P450 17A1, Human
CP17A_RAT	P11715	CHEMBL4430	Cytochrome P450 17A1, Rat
CP19A_HUMAN	P11511	CHEMBL1978	Cytochrome P450 19A1, Human
CP19A_RAT	P22443	CHEMBL3859	Cytochrome P450 19A1, Rat
CP1B1_HUMAN	Q16678	CHEMBL4878	Cytochrome P450 1B1, Human
CP21A_HUMAN	P08686	CHEMBL2759	Cytochrome P450 21, Human
CP24A_HUMAN	Q07973	CHEMBL4521	Cytochrome P450 24A1, Human
CP24A_RAT	Q09128	CHEMBL3748	Cytochrome P450 24A1, Rat
CP26A_HUMAN	O43174	CHEMBL5141	Cytochrome P450 26A1, Human
CP27A_HUMAN	Q02318	CHEMBL5992	Sterol 26-hydroxylase, Mitochondrial, Human
CP27B_HUMAN	O15528	CHEMBL5993	25-hydroxyvitamin D-1 Alpha Hydroxylase, Mitochondrial, Human
CP2C9_HUMAN	P11712	CHEMBL3397	Cytochrome P450 2C9, Human
CP2J2_HUMAN	P51589	CHEMBL3491	Cytochrome P450 2J2, Human
CP3A4_HUMAN	P08684	CHEMBL340	Cytochrome P450 3A4, Human
CP4A4_RABIT	P10611	CHEMBL4743	Cytochrome P450 4A4, Rabit
CP4AA_RAT	P08516	CHEMBL2681	Cytochrome P450 4A1, Rat
CP4AB_HUMAN	Q02928	CHEMBL3978	Cytochrome P450 4A11, Human
CP4AE_RAT	P20817	CHEMBL2180	Cytochrome P450 4A3, Rat
CP4F2_HUMAN	P78329	CHEMBL3379	Cytochrome P450 4F2, Human
CP51A_HUMAN	Q16850	CHEMBL3849	Cytochrome P450 51, Human
CP51A_RAT	Q64654	CHEMBL4981	Cytochrome P450 51, Rat
CP51_MYCTU	P0A512	CHEMBL5090	Lanosterol 14-alpha Demethylase, Myctu
CP51_TRYCC	Q7Z1V1	CHEMBL1075110	Sterol 14-alpha Demethylase, Trycc
CP7A1_RAT	P18125	CHEMBL2339	Cytochrome P450 7A1, Rat
CPN2_HUMAN	P22792	CHEMBL3685	Carboxypeptidase N, Regulatory Subunit, Human
CPNS1_HUMAN	P04632	CHEMBL4962	Calpain Small Subunit 1, Human
CPNS1_MOUSE	O88456	CHEMBL4209	Calpain Small Subunit 1, Mouse
CPNS1_PIG	P04574	CHEMBL2205	Calpain Small Subunit 1, Pig
CPNS1_RAT	Q64537	CHEMBL3756	Calpain Small Subunit 1, Rat
CPT1A_RAT	P32198	CHEMBL3858	Carnitine Palmitoyltransferase 1A, Rat
CPT1B_RAT	Q63704	CHEMBL3216	Carnitine Palmitoyltransferase 1B, Rat
CPXA_PSEPU	P00183	CHEMBL5594	Cytochrome P450-cam, Psepu
CREB1_HUMAN	P16220	CHEMBL5587	Cyclic AMP-responsive Element-binding Protein 1, Human
CRFR1_HUMAN	P34998	CHEMBL1800	Corticotropin Releasing Factor Receptor 1, Human
CRFR1_MOUSE	P35347	CHEMBL2446	Corticotropin Releasing Factor Receptor 1, Mouse
CRFR1_RAT	P35353	CHEMBL4649	Corticotropin Releasing Factor Receptor 1, Rat
CRFR2_HUMAN	Q13324	CHEMBL4069	Corticotropin Releasing Factor Receptor 2, Human
CRFR2_MOUSE	Q60748	CHEMBL2253	Corticotropin Releasing Factor Receptor 2, Mouse
CRFR2_RAT	P47866	CHEMBL3581	Corticotropin Releasing Factor Receptor 2, Rat
CRTM_STAAU	A9JQL9	CHEMBL5440	Dehydrosqualene Synthase, Staau
CSF1R_HUMAN	P07333	CHEMBL1844	Macrophage Colony Stimulating Factor  Receptor, Human
CSF1R_MOUSE	P09581	CHEMBL5570	Macrophage Colony-stimulating Factor 1 Receptor, Mouse
CSK21_HUMAN	P68400	CHEMBL3629	Casein Kinase II Alpha, Human
CSK21_MOUSE	Q60737	CHEMBL3537	Casein Kinase II Alpha, Mouse
CSK21_RAT	P19139	CHEMBL2661	Casein Kinase II Alpha, Rat
CSK22_HUMAN	P19784	CHEMBL4070	Casein Kinase II Alpha (prime), Human
CSK2A_MAIZE	P28523	CHEMBL4514	Casein Kinase II Alpha, Maize
CSK2A_SCHPO	P40231	CHEMBL1075255	Casein Kinase II Subunit Alpha, Schpo
CSK2B_HUMAN	P67870	CHEMBL2358	Casein Kinase II Beta, Human
CSK2B_RAT	P67874	CHEMBL2463	Casein Kinase II Beta, Rat
CSK_HUMAN	P41240	CHEMBL2634	Tyrosine-protein Kinase CSK, Human
CSK_MOUSE	P41241	CHEMBL2333	Tyrosine-protein Kinase CSK, Mouse
CTNB1_HUMAN	P35222	CHEMBL5866	Catenin Beta-1, Human
CTR4_HUMAN	O43246	CHEMBL5075	Cationic Amino Acid Transporter 4, Human
CTRA_BOVIN	P00766	CHEMBL3314	Alpha-chymotrypsin, Bovin
CTRB1_HUMAN	P17538	CHEMBL4796	Beta-chymotrypsin, Human
CTRB_BOVIN	P00767	CHEMBL3063	Beta-chymotrypsin, Bovin
CTRC_HUMAN	Q99895	CHEMBL2386	Chymotrypsin C, Human
CTRL_HUMAN	P40313	CHEMBL4873	Chymotrypsin-like Protease CTRL-1, Human
CTRO_HUMAN	O14578	CHEMBL5579	Citron Rho-interacting Kinase, Human
CXCR1_HUMAN	P25024	CHEMBL4029	Interleukin-8 Receptor A, Human
CXCR2_HUMAN	P25025	CHEMBL2434	Interleukin-8 Receptor B, Human
CXCR3_CANFA	Q5KSK8	CHEMBL1075194	C-X-C Chemokine Receptor Type 3, Canine
CXCR3_HUMAN	P49682	CHEMBL4441	C-X-C Chemokine Receptor Type 3, Human
CXCR3_MOUSE	O88410	CHEMBL5200	C-X-C Chemokine Receptor Type 3, Mouse
CXCR3_RAT	Q9JII9	CHEMBL1075172	C-X-C Chemokine Receptor Type 3, Rat
CXCR4_HUMAN	P61073	CHEMBL2107	C-X-C Chemokine Receptor Type 4, Human
CXCR4_RAT	O08565	CHEMBL5556	C-X-C Chemokine Receptor Type 4, Rat
CY24A_HUMAN	P13498	CHEMBL1613744	Cytochrome B-245 Light Chain, Human
CY24B_HUMAN	P04839	CHEMBL1287627	Cytochrome B-245 Heavy Chain, Human
CYAA_BACAN	P40136	CHEMBL5396	Calmodulin-sensitive Adenylate Cyclase, Bacan
CYNT_HELPY	O24855	CHEMBL4211	Carbonic Anhydrase 1, Helpy
CYNT_MYCTU	O53573	CHEMBL6068	Carbonic Anhydrase, Myctu
CYSP_TRYCR	P25779	CHEMBL3563	Cruzipain, Trycr
D1MIX9_PSEAI	D1MIX9	CHEMBL1250341	Beta-lactamase GES-13, Pseai
D2K2A8_9HEPC	D2K2A8	CHEMBL2364	Hepatitis C Virus NS4A Protein, 9hepc
D3W065_CHRVO	D3W065	CHEMBL1795164	CviR Transcriptional Regulator, Chrvo
D3ZAN3_RAT	D3ZAN3	CHEMBL3352	Alpha-glucosidase II, Rat
D3ZGQ2_RAT	D3ZGQ2	CHEMBL5489	Thymidine Kinase 2, Rat
D3ZJF9_RAT	D3ZJF9	CHEMBL4110	Alpha-galactosidase A, Rat
D3ZUM4_RAT	D3ZUM4	CHEMBL2680	Beta-galactosidase, Rat
D3ZWV0_RAT	D3ZWV0	CHEMBL2630	Retinoic Acid Receptor Gamma, Rat
D4A3N4_RAT	D4A3N4	CHEMBL2679	Brain Adenylate Cyclase 1, Rat
D5HSX5_9GAMM	D5HSX5	CHEMBL1697666	Extended-spectrum Beta-lactamase PER-6, 9gamm
D6NSM8_ACIBA	D6NSM8	CHEMBL1667701	ADC-11, Aciba
DAPE_HAEIN	P44514	CHEMBL1075192	Succinyl-diaminopimelate Desuccinylase, Haein
DAPK1_HUMAN	P53355	CHEMBL2558	Death-associated Protein Kinase 1, Human
DAPK2_HUMAN	Q9UIK4	CHEMBL3123	Death-associated Protein Kinase 2, Human
DAPK3_HUMAN	O43293	CHEMBL2468	Death-associated Protein Kinase 3, Human
DCAM_HUMAN	P17707	CHEMBL4181	S-adenosylmethionine Decarboxylase 1, Human
DCAM_RAT	P17708	CHEMBL3808	S-adenosylmethionine Decarboxylase 1, Rat
DCK_HUMAN	P27707	CHEMBL2447	Deoxycytidine Kinase, Human
DCK_MOUSE	P43346	CHEMBL2570	Deoxycytidine Kinase, Mouse
DCLK1_HUMAN	O15075	CHEMBL5683	Serine/threonine-protein Kinase DCLK1, Human
DCLK2_HUMAN	Q8N568	CHEMBL5519	Serine/threonine-protein Kinase DCLK2, Human
DCLK3_HUMAN	Q9C098	CHEMBL6123	Serine/threonine-protein Kinase DCLK3, Human
DCMC_HUMAN	O95822	CHEMBL4698	Malonyl-CoA Decarboxylase, Human
DCMC_MOUSE	Q99J39	CHEMBL1255162	Malonyl-CoA Decarboxylase, Mitochondrial, Mouse
DCOR_HUMAN	P11926	CHEMBL1869	Ornithine Decarboxylase, Human
DCOR_RAT	P09057	CHEMBL3511	Ornithine Decarboxylase, Rat
DDAH1_HUMAN	O94760	CHEMBL6036	N(G),N(G)-dimethylarginine Dimethylaminohydrolase 1, Human
DDR1_HUMAN	Q08345	CHEMBL5319	Epithelial Discoidin Domain-containing Receptor 1, Human
DDR2_HUMAN	Q16832	CHEMBL5122	Discoidin Domain-containing Receptor 2, Human
DDX3X_HUMAN	O00571	CHEMBL5553	ATP-dependent RNA Helicase DDX3X, Human
DEF1A_ARATH	Q9FV53	CHEMBL1075041	Peptide Deformylase 1A, Chloroplastic, Arath
DEFM_HUMAN	Q9HBH1	CHEMBL4647	Peptide Deformylase Mitochondrial, Human
DEF_ECOLI	P0A6K3	CHEMBL4976	Peptide Deformylase, Ecoli
DEF_MYCTU	P96275	CHEMBL5765	Peptide Deformylase, Myctu
DEF_PSEAE	Q9I7A8	CHEMBL1649054	Peptide Deformylase, Pseae
DEF_STAAM	P68825	CHEMBL2367	Peptide Deformylase, Staam
DGAT1_HUMAN	O75907	CHEMBL6009	Diacylglycerol O-acyltransferase 1, Human
DGAT1_MOUSE	Q9Z2A7	CHEMBL1075284	Diacylglycerol O-acyltransferase 1, Mouse
DGAT1_RAT	Q9ERM3	CHEMBL6129	Diacylglycerol O-acyltransferase 1, Rat
DGLA_HUMAN	Q9Y4D2	CHEMBL5545	Sn1-specific Diacylglycerol Lipase Alpha, Human
DGLB_HUMAN	Q8NCG7	CHEMBL5521	Sn1-specific Diacylglycerol Lipase Beta, Human
DHAS_HELPY	O25801	CHEMBL5687	Aspartate-semialdehyde Dehydrogenase, Helpy
DHB1_HUMAN	P14061	CHEMBL3181	Estradiol 17-beta-dehydrogenase 1, Human
DHB2_HUMAN	P37059	CHEMBL2789	Estradiol 17-beta-dehydrogenase 2, Human
DHB3_HUMAN	P37058	CHEMBL4234	Estradiol 17-beta-dehydrogenase 3, Human
DHB3_RAT	O54939	CHEMBL1075158	Testosterone 17-beta-dehydrogenase 3, Rat
DHB7_HUMAN	P56937	CHEMBL5999	3-keto-steroid Reductase, Human
DHE3_BOVIN	P00366	CHEMBL4628	Glutamate Dehydrogenase, Bovin
DHI1_HUMAN	P28845	CHEMBL4235	11-beta-hydroxysteroid Dehydrogenase 1, Human
DHI1_MOUSE	P50172	CHEMBL3910	11-beta-hydroxysteroid Dehydrogenase 1, Mouse
DHI1_RAT	P16232	CHEMBL2391	11-beta-hydroxysteroid Dehydrogenase 1, Rat
DHI2_HUMAN	P80365	CHEMBL3746	11-beta-hydroxysteroid Dehydrogenase 2, Human
DHI2_MOUSE	P51661	CHEMBL3490	11-beta-hydroxysteroid Dehydrogenase 2, Mouse
DHI2_RAT	P50233	CHEMBL2908	11-beta-hydroxysteroid Dehydrogenase 2, Rat
DHPR_HUMAN	P09417	CHEMBL3730	Dihydropteridine Reductase, Human
DHPR_RAT	P11348	CHEMBL2910	Dihydropteridine Reductase, Rat
DHRS9_RAT	Q8VD48	CHEMBL1075220	Dehydrogenase/reductase SDR Family Member 9, Rat
DHSO_HUMAN	Q00796	CHEMBL2275	Sorbitol Dehydrogenase, Human
DHSO_RAT	P27867	CHEMBL4038	Sorbitol Dehydrogenase, Rat
DHYS_RAT	Q6AY53	CHEMBL2539	Deoxyhypusine Synthase, Rat
DKK1_HUMAN	O94907	CHEMBL6024	Dickkopf-related Protein 1, Human
DLG4_HUMAN	P78352	CHEMBL5666	Disks Large Homolog 4, Human
DLK1_HUMAN	P80370	CHEMBL5671	Protein Delta Homolog 1, Human
DMPK_HUMAN	Q09013	CHEMBL5320	Myotonin-protein Kinase, Human
DNK_DROME	Q9XZT6	CHEMBL4760	Deoxynucleoside Kinase, Drome
DNLI1_HUMAN	P18858	CHEMBL5694	DNA Ligase 1, Human
DNM3B_HUMAN	Q9UBC3	CHEMBL6095	DNA (cytosine-5)-methyltransferase 3B, Human
DNMT1_HUMAN	P26358	CHEMBL1993	DNA (cytosine-5)-methyltransferase 1, Human
DNPEP_HUMAN	Q9ULA0	CHEMBL2761	Aspartyl Aminopeptidase, Human
DNSL3_HUMAN	Q13609	CHEMBL1649048	Deoxyribonuclease Gamma, Human
DOPO_BOVIN	P15101	CHEMBL4702	Dopamine Beta-hydroxylase, Bovin
DOPO_HUMAN	P09172	CHEMBL3102	Dopamine Beta-hydroxylase, Human
DOPO_RAT	Q05754	CHEMBL2992	Dopamine Beta-hydroxylase, Rat
DPEP1_HUMAN	P16444	CHEMBL1989	Renal Dipeptidase Precursor, Human
DPEP1_PIG	P22412	CHEMBL2626	Renal Dipeptidase Precursor, Pig
DPO1_THEAQ	P19821	CHEMBL3564	Taq Polymerase 1, Theaq
DPO3A_BACSU	O34623	CHEMBL5283	DNA Polymerase III Subunit Alpha, Bacsu
DPO3_BACSU	P13267	CHEMBL3897	DNA Polymerase III, Bacsu
DPO3_STAAU	P0C1P9	CHEMBL4910	DNA Polymerase III PolC-type, Staau
DPOD1_HUMAN	P28340	CHEMBL2735	DNA Polymerase Delta Subunit 1, Human
DPOG1_HUMAN	P54098	CHEMBL2732	DNA Polymerase Gamma Subunit 1, Human
DPOLA_HUMAN	P09884	CHEMBL1828	DNA Polymerase Alpha Subunit, Human
DPOLB_HUMAN	P06746	CHEMBL2392	DNA Polymerase Beta, Human
DPOLB_RAT	P06766	CHEMBL4343	DNA Polymerase Beta, Rat
DPOL_HCMVA	P08546	CHEMBL3414	Human Herpesvirus 5 DNA Polymerase, Hcmva
DPOL_HHV11	P04293	CHEMBL1872	Human Herpesvirus 1 DNA Polymerase, Hhv11
DPOL_HHV1K	P04292	CHEMBL5944	DNA Polymerase Catalytic Subunit, Hhv1k
DPOL_HHV6U	P28857	CHEMBL4009	Human Herpesvirus 6 DNA Polymerase, Hhv6u
DPOL_VZVD	P09252	CHEMBL4859	DNA Polymerase, Vzvd
DPP2_HUMAN	Q9UHL4	CHEMBL3976	Dipeptidyl Peptidase II, Human
DPP2_RAT	Q9EPB1	CHEMBL4352	Dipeptidyl Peptidase II, Rat
DPP3_RAT	O55096	CHEMBL2233	Dipeptidyl Peptidase III, Rat
DPP4_HUMAN	P27487	CHEMBL284	Dipeptidyl Peptidase IV, Human
DPP4_MOUSE	P28843	CHEMBL3883	Dipeptidyl Peptidase IV, Mouse
DPP4_PIG	P22411	CHEMBL3813	Dipeptidyl Peptidase IV, Pig
DPP4_RAT	P14740	CHEMBL4653	Dipeptidyl Peptidase IV, Rat
DPP6_RAT	P46101	CHEMBL4353	Dipeptidyl Peptidase VI, Rat
DPP8_HUMAN	Q6V1X1	CHEMBL4657	Dipeptidyl Peptidase VIII, Human
DPP9_HUMAN	Q86TI2	CHEMBL4793	Dipeptidyl Peptidase IX, Human
DPYD_HUMAN	Q12882	CHEMBL3172	Dihydropyrimidine Dehydrogenase, Human
DRB3_HUMAN	P79483	CHEMBL3460	HLA Class II Histocompatibility Antigen DRB3-1, Human
DRD1_BOVIN	Q95136	CHEMBL2967	Dopamine D1 Receptor, Bovin
DRD1_HUMAN	P21728	CHEMBL2056	Dopamine D1 Receptor, Human
DRD1_MOUSE	Q61616	CHEMBL3071	Dopamine D1 Receptor, Mouse
DRD1_PIG	P50130	CHEMBL5067	Dopamine D1 Receptor, Pig
DRD1_RAT	P18901	CHEMBL265	Dopamine D1 Receptor, Rat
DRD2_BOVIN	P20288	CHEMBL3998	Dopamine D2 Receptor, Bovin
DRD2_CANFA	Q9GJU1	CHEMBL2703	Dopamine D2 Receptor, Canine
DRD2_CHLAE	P52702	CHEMBL5456	Dopamine D2 Receptor, Chlae
DRD2_HUMAN	P14416	CHEMBL217	Dopamine D2 Receptor, Human
DRD2_MOUSE	P61168	CHEMBL3427	Dopamine D2 Receptor, Mouse
DRD2_RAT	P61169	CHEMBL339	Dopamine D2 Receptor, Rat
DRD3_HUMAN	P35462	CHEMBL234	Dopamine D3 Receptor, Human
DRD3_RAT	P19020	CHEMBL3138	Dopamine D3 Receptor, Rat
DRD4_HUMAN	P21917	CHEMBL219	Dopamine D4 Receptor, Human
DRD4_MOUSE	P51436	CHEMBL2574	Dopamine D4 Receptor, Mouse
DRD4_RAT	P30729	CHEMBL3361	Dopamine D4 Receptor, Rat
DRD5_HUMAN	P21918	CHEMBL1850	Dopamine D5 Receptor, Human
DRD5_RAT	P25115	CHEMBL2281	Dopamine D5 Receptor, Rat
DRTS_PLAFK	P13922	CHEMBL1939	Dihydrofolate Reductase, Plafk
DRTS_TOXGO	Q07422	CHEMBL2425	Dihydrofolate Reductase, Toxgo
DRTS_TRYCR	Q27793	CHEMBL1163130	Bifunctional Dihydrofolate Reductase-thymidylate Synthase, Trycr
DUOX2_HUMAN	Q9NRD8	CHEMBL3293	Thyroid Oxidase 2, Human
DUS1_HUMAN	P28562	CHEMBL6026	Dual Specificity Protein Phosphatase 1, Human
DUS1_MOUSE	P28563	CHEMBL5623	Dual Specificity Protein Phosphatase 1, Mouse
DUS22_HUMAN	Q9NRW4	CHEMBL3924	Dual Specificity Phosphatase 22, Human
DUS3_HUMAN	P51452	CHEMBL2635	Dual Specificity Protein Phosphatase 3, Human
DUS6_RAT	Q64346	CHEMBL5511	Dual Specificity Protein Phosphatase 6, Rat
DUTL_HUMAN	Q6ZN92	CHEMBL1795133	Putative Deoxyuridine 5'-triphosphate Nucleotidohydrolase-like Protein FLJ16323, Human
DUT_HUMAN	P33316	CHEMBL5203	DUTP Pyrophosphatase, Human
DXR_ECOLI	P45568	CHEMBL4091	1-deoxyxylulose-5-phosphate Reductoisomerase, Ecoli
DXR_MYCTU	P64012	CHEMBL5630	1-deoxy-D-xylulose 5-phosphate Reductoisomerase, Myctu
DXR_SYNY3	Q55663	CHEMBL4094	1-deoxyxylulose-5-phosphate Reductoisomerase, Syny3
DYN1_HUMAN	Q05193	CHEMBL4958	Dynamin-1, Human
DYN2_HUMAN	P50570	CHEMBL5812	Dynamin-2, Human
DYR1A_HUMAN	Q13627	CHEMBL2292	Dual-specificity Tyrosine-phosphorylation Regulated Kinase 1A, Human
DYR1A_MOUSE	Q61214	CHEMBL4750	Dual-specificity Tyrosine-phosphorylation Regulated Kinase 1A, Mouse
DYR1A_RAT	Q63470	CHEMBL5508	Dual Specificity Tyrosine-phosphorylation-regulated Kinase 1A, Rat
DYR1B_HUMAN	Q9Y463	CHEMBL5543	Dual Specificity Tyrosine-phosphorylation-regulated Kinase 1B, Human
DYR1_ECOLX	P00382	CHEMBL2627	Dihydrofolate Reductase Type 1, Ecolx
DYRK2_HUMAN	Q92630	CHEMBL4376	Dual-specificity Tyrosine-phosphorylation Regulated Kinase 2, Human
DYRK3_HUMAN	O43781	CHEMBL4575	Dual-specificity Tyrosine-phosphorylation Regulated Kinase 3, Human
DYR_BOVIN	P00376	CHEMBL1075051	Dihydrofolate Reductase, Bovin
DYR_CANAX	P22906	CHEMBL2329	Dihydrofolate Reductase, Canax
DYR_CHICK	P00378	CHEMBL2575	Dihydrofolate Reductase, Chick
DYR_ECOLI	P0ABQ4	CHEMBL1809	Dihydrofolate Reductase, Ecoli
DYR_HUMAN	P00374	CHEMBL202	Dihydrofolate Reductase, Human
DYR_LACCA	P00381	CHEMBL2902	Dihydrofolate Reductase, Lacca
DYR_MOUSE	P00375	CHEMBL4564	Dihydrofolate Reductase, Mouse
DYR_MYCTU	P0A546	CHEMBL6065	Dihydrofolate Reductase, Myctu
DYR_PNECA	P16184	CHEMBL1926	Dihydrofolate Reductase, Pneca
DYR_RAT	Q920D2	CHEMBL2363	Dihydrofolate Reductase, Rat
DYR_STAAU	P0A017	CHEMBL1681620	Dihydrofolate Reductase, Staau
DYR_STAAW	Q8NWQ9	CHEMBL3644	Dihydrofolate Reductase, Staaw
DYR_YEAST	P07807	CHEMBL2576	Dihydrofolate Reductase, Yeast
E1BN64_BOVIN	E1BN64	CHEMBL5129	Phosphodiesterase 3B, Bovin
E2AK1_HUMAN	Q9BQI3	CHEMBL6029	Eukaryotic Translation Initiation Factor 2-alpha Kinase 1, Human
E2AK2_HUMAN	P19525	CHEMBL5785	Interferon-induced, Double-stranded RNA-activated Protein Kinase, Human
E2AK3_HUMAN	Q9NZJ5	CHEMBL6030	Eukaryotic Translation Initiation Factor 2-alpha Kinase 3, Human
E2AK4_HUMAN	Q9P2K8	CHEMBL5358	Eukaryotic Translation Initiation Factor 2-alpha Kinase 4, Human
E2QDN0_ECOLX	E2QDN0	CHEMBL1795153	Thymidylate Synthase (EC 2.1.1.45) (TS) (TSase), Ecolx
EAA1_HUMAN	P43003	CHEMBL3085	Excitatory Amino Acid Transporter 1, Human
EAA1_RAT	P24942	CHEMBL4190	Excitatory Amino Acid Transporter 1, Rat
EAA2_HUMAN	P43004	CHEMBL4973	Excitatory Amino Acid Transporter 2, Human
EAA2_RAT	P31596	CHEMBL2900	Excitatory Amino Acid Transporter 2, Rat
EAA3_HUMAN	P43005	CHEMBL2721	Excitatory Amino Acid Transporter 3, Human
EAA3_RAT	P51907	CHEMBL3113	Excitatory Amino Acid Transporter 3, Rat
EAA4_HUMAN	P48664	CHEMBL3173	Excitatory Amino Acid Transporter 4, Human
EAA4_RAT	O35921	CHEMBL3700	Excitatory Amino Acid Transporter 4, Rat
EAA5_HUMAN	O00341	CHEMBL4390	Excitatory Amino Acid Transporter 5, Human
EBP_CAVPO	Q60490	CHEMBL5525	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase, Guinea Pig
