From	To	Species	Gene Name
PMM2_HUMAN	826287	Homo sapiens	phosphomannomutase 2
PPCE_MOUSE	471242	Mus musculus	prolyl endopeptidase
KC1E_HUMAN	821365	Homo sapiens	casein kinase 1, epsilon
KCNH2_HUMAN	799002	Homo sapiens	potassium voltage-gated channel, subfamily H (eag-related), member 2
KC1A_HUMAN	791771	Homo sapiens	casein kinase 1, alpha 1
NADK_HUMAN	821461	Homo sapiens	NAD kinase
THRB_RAT	407396	Rattus norvegicus	coagulation factor II (thrombin)
PEPD_HUMAN	814978	Homo sapiens	peptidase D
LDHB_HUMAN	812048	Homo sapiens	lactate dehydrogenase B
TKT_HUMAN	809989	Homo sapiens	transketolase
SC6A4_MACMU	951518	Macaca mulatta	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
THRB_HUMAN	794781	Homo sapiens	coagulation factor II (thrombin)
RYR1_PIG	617957	Sus scrofa	ryanodine receptor 1
KS6B1_HUMAN	803233	Homo sapiens	ribosomal protein S6 kinase, 70kDa, polypeptide 1
SYFM_HUMAN	801720	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial
ULK1_HUMAN	804565	Homo sapiens	unc-51-like kinase 1 (C. elegans)
THA_RAT	401298	Rattus norvegicus	thyroid hormone receptor alpha
PGH1_RAT	402737	Rattus norvegicus	prostaglandin-endoperoxide synthase 1
MALX3_YEAST	3128467	Saccharomyces cerevisiae	Probable alpha-glucosidase FSP2
TBB3_RAT	401013	Rattus norvegicus	tubulin, beta 3
KS6A2_HUMAN	788161	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 2; hypothetical LOC100127984
TYSY_MYCTU	4104655	Mycobacterium tuberculosis	Thymidylate synthase
PDE4D_HUMAN	800925	Homo sapiens	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
PDE6D_BOVIN	590362	Bos taurus	phosphodiesterase 6D, cGMP-specific, rod, delta
KPCA_HUMAN	796402	Homo sapiens	protein kinase C, alpha
MK04_HUMAN	788266	Homo sapiens	mitogen-activated protein kinase 4
KCNA3_HUMAN	806519	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, member 3
MK14_MOUSE	429786	Mus musculus	mitogen-activated protein kinase 14
NMDE1_MOUSE	446664	Mus musculus	similar to N-methyl-D-aspartate receptor channel subunit epsilon 1; glutamate receptor, ionotropic, NMDA2A (epsilon 1)
Q91ZM7_RAT	393797	Rattus norvegicus	gamma-aminobutyric acid (GABA) receptor, theta
NPY5R_RAT	381843	Rattus norvegicus	neuropeptide Y receptor Y5
ST1E1_MOUSE	467593	Mus musculus	sulfotransferase family 1E, member 1
PEN2_HUMAN	799687	Homo sapiens	presenilin enhancer 2 homolog (C. elegans)
SOAT1_HUMAN	779004	Homo sapiens	sterol O-acyltransferase 1
MPIP2_HUMAN	789047	Homo sapiens	cell division cycle 25 homolog B (S. pombe)
NLK_HUMAN	786314	Homo sapiens	nemo-like kinase
M4K3_HUMAN	826237	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 3
MP2K4_HUMAN	790859	Homo sapiens	mitogen-activated protein kinase kinase 4
PK3CG_HUMAN	785330	Homo sapiens	phosphoinositide-3-kinase, catalytic, gamma polypeptide
TLK2_HUMAN	809721	Homo sapiens	tousled-like kinase 2
SAHH_HUMAN	796657	Homo sapiens	adenosylhomocysteinase
PTH1R_HUMAN	803180	Homo sapiens	parathyroid hormone 1 receptor
MDM2_HUMAN	773203	Homo sapiens	Mdm2 p53 binding protein homolog (mouse)
S22A6_MOUSE	465388	Mus musculus	solute carrier family 22 (organic anion transporter), member 6
SL9A1_HUMAN	778555	Homo sapiens	solute carrier family 9 (sodium/hydrogen exchanger), member 1
LOX12_HUMAN	805053	Homo sapiens	arachidonate 12-lipoxygenase
NEUR2_HUMAN	804816	Homo sapiens	sialidase 2 (cytosolic sialidase)
OPRD_HUMAN	788138	Homo sapiens	opioid receptor, delta 1
MGLL_RAT	383909	Rattus norvegicus	monoglyceride lipase
KCC1G_HUMAN	811761	Homo sapiens	calcium/calmodulin-dependent protein kinase IG
SYM_ECOLI	5305254	Escherichia coli	Methionyl-tRNA synthetase
P2RY6_HUMAN	801574	Homo sapiens	pyrimidinergic receptor P2Y, G-protein coupled, 6
TYRO_AGABI	6795317	Agaricus bisporus	Tyrosinase
MURI_HELPJ	5725596	Helicobacter pylori	Glutamate racemase
KPCZ_RAT	403308	Rattus norvegicus	protein kinase C, zeta
LYAG_RAT	385445	Rattus norvegicus	glucosidase, alpha, acid
PGH1_BOVIN	593890	Bos taurus	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
KCC2B_HUMAN	784898	Homo sapiens	calcium/calmodulin-dependent protein kinase II beta
PLMN_RAT	401651	Rattus norvegicus	plasminogen
KPCD3_HUMAN	826091	Homo sapiens	protein kinase D3
PNMT_BOVIN	582144	Bos taurus	phenylethanolamine N-methyltransferase
S29A1_HUMAN	784606	Homo sapiens	solute carrier family 29 (nucleoside transporters), member 1
TNFA_HUMAN	813881	Homo sapiens	tumor necrosis factor (TNF superfamily, member 2)
LIPS_RAT	403726	Rattus norvegicus	lipase, hormone sensitive
MURI_HELPY	5727144	Helicobacter pylori	Glutamate racemase
PLD2_HUMAN	797502	Homo sapiens	phospholipase D2
NMT2_HUMAN	791674	Homo sapiens	N-myristoyltransferase 2
TOP1_MOUSE	471470	Mus musculus	topoisomerase (DNA) I
MCHR2_HUMAN	772247	Homo sapiens	melanin-concentrating hormone receptor 2
O93874_CURLU	6794353	Cochliobolus lunatus	17HSDcl
MMP17_HUMAN	791965	Homo sapiens	matrix metallopeptidase 17 (membrane-inserted)
NOS3_BOVIN	592744	Bos taurus	nitric oxide synthase 3 (endothelial cell)
VATB2_HUMAN	799166	Homo sapiens	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
SC5A2_HUMAN	772364	Homo sapiens	solute carrier family 5 (sodium/glucose cotransporter), member 2
NANH_VIBCH	5112071	Vibrio cholerae	Sialidase
KLK1_HUMAN	809893	Homo sapiens	kallikrein 1
PDE10_MOUSE	475860	Mus musculus	phosphodiesterase 10A
NEK5_HUMAN	773572	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 5
KLK2_HUMAN	798869	Homo sapiens	kallikrein-related peptidase 2
P3C2B_HUMAN	806601	Homo sapiens	phosphoinositide-3-kinase, class 2, beta polypeptide
SC6A9_HUMAN	788781	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
MK07_HUMAN	797940	Homo sapiens	mitogen-activated protein kinase 7
KPB2_HUMAN	815786	Homo sapiens	phosphorylase kinase, alpha 2 (liver)
SIRT3_HUMAN	819350	Homo sapiens	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)
M3K2_HUMAN	785688	Homo sapiens	mitogen-activated protein kinase kinase kinase 2
SRPK2_HUMAN	772310	Homo sapiens	SFRS protein kinase 2
SRC_RAT	383998	Rattus norvegicus	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
TNR1A_HUMAN	804156	Homo sapiens	tumor necrosis factor receptor superfamily, member 1A
THYX_MYCTU	4093347	Mycobacterium tuberculosis	Thymidylate synthase thyX
MELK_HUMAN	826097	Homo sapiens	maternal embryonic leucine zipper kinase
PGFRB_HUMAN	783987	Homo sapiens	platelet-derived growth factor receptor, beta polypeptide
Q80T35_MOUSE	450532	Mus musculus	glutamate receptor, metabotropic 6
LUCI_PHOPY	6785299	Photinus pyralis	Luciferin 4-monooxygenase
PI2R_HUMAN	819096	Homo sapiens	prostaglandin I2 (prostacyclin) receptor (IP)
PAK2_HUMAN	786017	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 2
VGFR2_HUMAN	825374	Homo sapiens	kinase insert domain receptor (a type III receptor tyrosine kinase)
PA21B_PIG	614306	Sus scrofa	phospholipase A2, group IB (pancreas)
MMP25_HUMAN	821550	Homo sapiens	matrix metallopeptidase 25
KPYM_HUMAN	774963	Homo sapiens	similar to Pyruvate kinase, isozymes M1/M2 (Pyruvate kinase muscle isozyme) (Cytosolic thyroid hormone-binding protein) (CTHBP) (THBP1); pyruvate kinase, muscle
VACHT_RAT	411191	Rattus norvegicus	solute carrier family 18 (vesicular acetylcholine), member 3
PTPA_MYCTU	4110254	Mycobacterium tuberculosis	Probable low molecular weight protein-tyrosine-phosphatase
MTSI_SPISQ	6863272	Spiroplasma monobiae	CPG DNA methylase
XDH_HUMAN	787628	Homo sapiens	xanthine dehydrogenase
MYLK_CHICK	1227346	Gallus gallus	myosin, light chain kinase
SUIS_HUMAN	791831	Homo sapiens	sucrase-isomaltase (alpha-glucosidase)
LOX1_SOYBN	3457638	Glycine max	lipoxygenase
MET_HUMAN	804278	Homo sapiens	met proto-oncogene (hepatocyte growth factor receptor)
KCMA1_HUMAN	814682	Homo sapiens	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
RIPK1_HUMAN	801089	Homo sapiens	receptor (TNFRSF)-interacting serine-threonine kinase 1
TNKS1_HUMAN	803123	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
PH4H_HUMAN	824336	Homo sapiens	phenylalanine hydroxylase
M4K5_HUMAN	820113	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 5
TYK2_HUMAN	789232	Homo sapiens	tyrosine kinase 2
KC1AL_HUMAN	779573	Homo sapiens	casein kinase 1, alpha 1-like
UFO_HUMAN	823204	Homo sapiens	AXL receptor tyrosine kinase
PTGDS_MOUSE	438390	Mus musculus	prostaglandin D2 synthase (brain)
PPOX_BACSU	4382390	Bacillus subtilis	Protoporphyrinogen oxidase
PAOX_MOUSE	433608	Mus musculus	polyamine oxidase (exo-N4-amino)
PPARA_RAT	412078	Rattus norvegicus	peroxisome proliferator activated receptor alpha
KC1D_MOUSE	445334	Mus musculus	casein kinase 1, delta
TRFR_RAT	396158	Rattus norvegicus	thyrotropin releasing hormone receptor
PDE10_RAT	384500	Rattus norvegicus	phosphodiesterase 10A
PCSK5_HUMAN	825413	Homo sapiens	proprotein convertase subtilisin/kexin type 5
KCC2G_HUMAN	819699	Homo sapiens	calcium/calmodulin-dependent protein kinase II gamma
KCNB1_RAT	397322	Rattus norvegicus	potassium voltage gated channel, Shab-related subfamily, member 1
MSHR_MOUSE	461903	Mus musculus	melanocortin 1 receptor
MP2K6_HUMAN	798460	Homo sapiens	mitogen-activated protein kinase kinase 6
TSPO_MOUSE	436411	Mus musculus	translocator protein
KITH_VZVD	313889	Human herpesvirus 3	Thymidine kinase
XDH_RAT	405145	Rattus norvegicus	xanthine dehydrogenase
PARP1_BOVIN	596878	Bos taurus	poly (ADP-ribose) polymerase 1
PLD1_HUMAN	777309	Homo sapiens	phospholipase D1, phosphatidylcholine-specific
PE2R2_MOUSE	464701	Mus musculus	prostaglandin E receptor 2 (subtype EP2)
MK08_HUMAN	808426	Homo sapiens	mitogen-activated protein kinase 8
P2Y12_HUMAN	803612	Homo sapiens	purinergic receptor P2Y, G-protein coupled, 12
PKD2_HUMAN	780290	Homo sapiens	polycystic kidney disease 2 (autosomal dominant)
TGT_HUMAN	815976	Homo sapiens	queuine tRNA-ribosyltransferase 1
OPRK_MOUSE	437920	Mus musculus	opioid receptor, kappa 1
TBB2B_BOVIN	592513	Bos taurus	tubulin, beta 2A
KLKB1_HUMAN	783277	Homo sapiens	kallikrein B, plasma (Fletcher factor) 1
KAT5_HUMAN	802001	Homo sapiens	K(lysine) acetyltransferase 5
SNAT_SHEEP	568601	Ovis aries	arylalkylamine N-acetyltransferase
SLK_HUMAN	808174	Homo sapiens	STE20-like kinase (yeast)
PCFT_HUMAN	783863	Homo sapiens	solute carrier family 46 (folate transporter), member 1
PDK3_HUMAN	780757	Homo sapiens	pyruvate dehydrogenase kinase, isozyme 3
KTHY_MYCTU	4110628	Mycobacterium tuberculosis	Thymidylate kinase
KTHY_MYCTU	4111801	Mycobacterium tuberculosis	Thymidylate kinase
KCNA4_HUMAN	801555	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, member 4
MGLL_HUMAN	808010	Homo sapiens	monoglyceride lipase
S15A2_RAT	412457	Rattus norvegicus	solute carrier family 15 (H+/peptide transporter), member 2
PPBN_HUMAN	798782	Homo sapiens	alkaline phosphatase, placental-like 2
MAST1_HUMAN	816345	Homo sapiens	microtubule associated serine/threonine kinase 1
Q99MI5_RAT	397926	Rattus norvegicus	spermidine synthase
RENI1_MOUSE	479234	Mus musculus	renin 1 structural; similar to renin 2 tandem duplication of Ren1; renin 2 tandem duplication of Ren1
SYFA_STRP8	4573646	Streptococcus pyogenes	Phenylalanyl-tRNA synthetase alpha chain
RENI_HUMAN	786869	Homo sapiens	renin
TGFR1_HUMAN	817131	Homo sapiens	transforming growth factor, beta receptor 1
MTR1C_CHICK	1218385	Gallus gallus	Mel-1c melatonin receptor
NR1H3_HUMAN	788206	Homo sapiens	nuclear receptor subfamily 1, group H, member 3
PA2GX_HUMAN	774648	Homo sapiens	phospholipase A2, group X
RAF1_HUMAN	781513	Homo sapiens	v-raf-1 murine leukemia viral oncogene homolog 1
P2RX3_HUMAN	820941	Homo sapiens	purinergic receptor P2X, ligand-gated ion channel, 3
PDE6A_CANFA	767382	Canis lupus	phosphodiesterase 6A, cGMP-specific, rod, alpha
RARA_MOUSE	440804	Mus musculus	retinoic acid receptor, alpha
LYAM2_HUMAN	787386	Homo sapiens	selectin E
S6A13_MOUSE	465813	Mus musculus	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
OXGR1_RAT	410076	Rattus norvegicus	oxoglutarate (alpha-ketoglutarate) receptor 1
KPCA_RAT	381585	Rattus norvegicus	protein kinase C, alpha
S29A1_RAT	403034	Rattus norvegicus	solute carrier family 29 (nucleoside transporters), member 1
NMDE2_MOUSE	477722	Mus musculus	glutamate receptor, ionotropic, NMDA2B (epsilon 2)
SCN2A_RAT	399606	Rattus norvegicus	sodium channel, voltage-gated, type II, alpha 1
NEP_RAT	389012	Rattus norvegicus	membrane metallo endopeptidase
PLCG1_RAT	411289	Rattus norvegicus	phospholipase C, gamma 1
Q8SPQ9_CANFA	757856	Canis lupus	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
MTR1A_HUMAN	800838	Homo sapiens	melatonin receptor 1A
TNKS2_HUMAN	826184	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
PK3CA_MOUSE	438184	Mus musculus	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide
MC3R_HUMAN	814372	Homo sapiens	melanocortin 3 receptor
PYRF_METTH	419413	Methanothermobacter thermautotrophicus	Orotidine 5'-phosphate decarboxylase
Y1284_MYCTU	4093821	Mycobacterium tuberculosis	Uncharacterized protein Rv1284/MT1322
Y1284_MYCTU	4096617	Mycobacterium tuberculosis	Uncharacterized protein Rv1284/MT1322
SATT_HUMAN	787851	Homo sapiens	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
SPHK2_HUMAN	807956	Homo sapiens	sphingosine kinase 2
PE2R1_HUMAN	797450	Homo sapiens	prostaglandin E receptor 1 (subtype EP1), 42kDa
RXRA_MOUSE	433416	Mus musculus	retinoid X receptor alpha; similar to retinoid X receptor-alpha
UROK_RAT	403178	Rattus norvegicus	plasminogen activator, urokinase
MK11_HUMAN	822075	Homo sapiens	mitogen-activated protein kinase 11
SC6A9_MOUSE	474148	Mus musculus	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
Q99P97_RAT	404807	Rattus norvegicus	histone deacetylase 6; similar to ES cell-expressed Ras
Q0VTR8_ACIG3	6599596	Acinetobacter genomosp. 3	adc-16
PDE6B_BOVIN	574879	Bos taurus	phosphodiesterase 6B, cGMP-specific, rod, beta
PKN2_HUMAN	797793	Homo sapiens	protein kinase N2
ST1E1_BOVIN	579099	Bos taurus	sulfotransferase family 1E, estrogen-preferring, member 1
ST17B_HUMAN	774376	Homo sapiens	serine/threonine kinase 17b
PRGR_RABIT	538997	Oryctolagus cuniculus	progesterone receptor
MAOX_HUMAN	781605	Homo sapiens	malic enzyme 1, NADP(+)-dependent, cytosolic
KMO_HUMAN	812236	Homo sapiens	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
P95276_MYCTU	4111285	Mycobacterium tuberculosis	Rv1938; MRA_1948
P95276_MYCTU	4101056	Mycobacterium tuberculosis	MT1988
TPX2_HUMAN	800683	Homo sapiens	TPX2, microtubule-associated, homolog (Xenopus laevis)
WEE1_HUMAN	791338	Homo sapiens	WEE1 homolog (S. pombe)
SRPK1_HUMAN	812323	Homo sapiens	SFRS protein kinase 1
PA2_CROAD	6769983	Crotalus adamanteus	Phospholipase A2 alpha
TTK_HUMAN	814656	Homo sapiens	TTK protein kinase
PPARD_MOUSE	462820	Mus musculus	peroxisome proliferator activator receptor delta
PRKDC_HUMAN	791583	Homo sapiens	similar to protein kinase, DNA-activated, catalytic polypeptide; protein kinase, DNA-activated, catalytic polypeptide
Q3T905_HELZE	6784462	Helicoverpa zea	cpb
PPARA_HUMAN	773365	Homo sapiens	peroxisome proliferator-activated receptor alpha
KPCZ_HUMAN	826346	Homo sapiens	protein kinase C, zeta
T23O_HUMAN	818270	Homo sapiens	tryptophan 2,3-dioxygenase
TNR16_HUMAN	811175	Homo sapiens	nerve growth factor receptor (TNFR superfamily, member 16)
P97706_RAT	417519	Rattus norvegicus	sodium channel, voltage-gated, type VII, alpha
SC6A3_MOUSE	431796	Mus musculus	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
PTPRF_HUMAN	820737	Homo sapiens	protein tyrosine phosphatase, receptor type, F
PYRD_HUMAN	785402	Homo sapiens	dihydroorotate dehydrogenase
PAK3_HUMAN	796538	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 3
RNAS2_HUMAN	786549	Homo sapiens	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)
PERM_HUMAN	807542	Homo sapiens	myeloperoxidase
SCNNA_HUMAN	790880	Homo sapiens	sodium channel, nonvoltage-gated 1 alpha
TP4A2_HUMAN	805458	Homo sapiens	protein tyrosine phosphatase type IVA, member 2
KDM4C_HUMAN	819026	Homo sapiens	lysine (K)-specific demethylase 4C
KCC2A_HUMAN	805227	Homo sapiens	calcium/calmodulin-dependent protein kinase II alpha
VDR_RAT	381225	Rattus norvegicus	vitamin D (1,25- dihydroxyvitamin D3) receptor
LPAR2_HUMAN	783375	Homo sapiens	lysophosphatidic acid receptor 2
PDE4D_MOUSE	426926	Mus musculus	phosphodiesterase 4D, cAMP specific
SOAT1_RAT	415962	Rattus norvegicus	sterol O-acyltransferase 1
KPCA_BOVIN	587692	Bos taurus	protein kinase C, alpha
MMP14_HUMAN	791781	Homo sapiens	matrix metallopeptidase 14 (membrane-inserted)
MTR1A_CHICK	1205117	Gallus gallus	melatonin receptor 1A
Q5AJ71_CANAL	2821592	Candida albicans	CaO19.1721; CaO19.9289
PKN1_HUMAN	799387	Homo sapiens	protein kinase N1
ROCK1_RAT	385175	Rattus norvegicus	Rho-associated coiled-coil containing protein kinase 1
MTAP_MOUSE	431412	Mus musculus	methylthioadenosine phosphorylase
SCNAA_MOUSE	422965	Mus musculus	sodium channel, voltage-gated, type X, alpha
OXER1_HUMAN	797130	Homo sapiens	oxoeicosanoid (OXE) receptor 1
SC6A4_MOUSE	447676	Mus musculus	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
PDE3B_RAT	385174	Rattus norvegicus	phosphodiesterase 3B, cGMP-inhibited
TSSK1_HUMAN	775060	Homo sapiens	testis-specific serine kinase 1B
TLK1_HUMAN	775433	Homo sapiens	tousled-like kinase 1
VCAM1_HUMAN	780356	Homo sapiens	vascular cell adhesion molecule 1
LEF_BACAN	4474662	Bacillus anthracis	Lethal factor
LEF_BACAN	4486975	Bacillus anthracis	Lethal factor
NMDZ1_MOUSE	421282	Mus musculus	glutamate receptor, ionotropic, NMDA1 (zeta 1)
Q72874_9HIV1	76702	Human immunodeficiency virus 1	Gag-Pol polyprotein
PUR2_HUMAN	785682	Homo sapiens	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
NTR1_MOUSE	459006	Mus musculus	similar to neurotensin receptor type 1; neurotensin receptor 1
NUAK1_HUMAN	789912	Homo sapiens	NUAK family, SNF1-like kinase, 1
MK15_HUMAN	802801	Homo sapiens	mitogen-activated protein kinase 15
Q80Z26_RAT	411464	Rattus norvegicus	ectonucleoside triphosphate diphosphohydrolase 3
SC5A2_RAT	410124	Rattus norvegicus	solute carrier family 5 (sodium/glucose cotransporter), member 2
NMDE4_HUMAN	786599	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
PDE11_HUMAN	807318	Homo sapiens	phosphodiesterase 11A
KDM4A_HUMAN	819821	Homo sapiens	lysine (K)-specific demethylase 4A
PI4KA_HUMAN	821350	Homo sapiens	phosphatidylinositol 4-kinase, catalytic, alpha
STE14_YEAST	3129394	Saccharomyces cerevisiae	Protein-S-isoprenylcysteine O-methyltransferase
PDE3A_HUMAN	794463	Homo sapiens	phosphodiesterase 3A, cGMP-inhibited
KLK7_HUMAN	796953	Homo sapiens	kallikrein-related peptidase 7
STK36_HUMAN	806167	Homo sapiens	serine/threonine kinase 36, fused homolog (Drosophila)
NTR2_MOUSE	472363	Mus musculus	neurotensin receptor 2
NPY5R_HUMAN	795274	Homo sapiens	neuropeptide Y receptor Y5
THRB_BOVIN	592209	Bos taurus	coagulation factor II (thrombin)
Q862L2_BOVIN	581666	Bos taurus	tubulin, alpha 1a; tubulin, alpha 1b; similar to alpha-tubulin I; THAP domain containing 7
NTRK3_HUMAN	774436	Homo sapiens	neurotrophic tyrosine kinase, receptor, type 3
TRPM8_HUMAN	777749	Homo sapiens	transient receptor potential cation channel, subfamily M, member 8
LPAR3_RAT	394932	Rattus norvegicus	lysophosphatidic acid receptor 3
KMO_RAT	401210	Rattus norvegicus	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
MCHR1_HUMAN	794542	Homo sapiens	melanin-concentrating hormone receptor 1
NHAA_ECOLI	5302851	Escherichia coli	Na(+)/H(+) antiporter nhaA
KCNN4_HUMAN	774652	Homo sapiens	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
LUCI_PHOPE	6636171	Photuris pennsylvanica	Luciferin 4-monooxygenase
SL9A1_RAT	410679	Rattus norvegicus	solute carrier family 9 (sodium/hydrogen exchanger), member 1
KC1G2_HUMAN	788983	Homo sapiens	casein kinase 1, gamma 2
TRPV1_HUMAN	775157	Homo sapiens	transient receptor potential cation channel, subfamily V, member 1
METK2_RAT	412373	Rattus norvegicus	methionine adenosyltransferase II, alpha; similar to S-adenosylmethionine synthetase gamma form (Methionine adenosyltransferase)
PA2G5_MOUSE	423809	Mus musculus	phospholipase A2, group V; similar to phospholipase A2, group V
SHBG_HUMAN	784254	Homo sapiens	sex hormone-binding globulin
PSN1_HUMAN	813199	Homo sapiens	presenilin 1
TIE2_MOUSE	442242	Mus musculus	endothelial-specific receptor tyrosine kinase
KCC2G_MOUSE	482004	Mus musculus	similar to Calcium/calmodulin-dependent protein kinase type II gamma chain (CaM-kinase II gamma chain) (CaM kinase II gamma subunit) (CaMK-II subunit gamma); calcium/calmodulin-dependent protein kinase II gamma
PYGB_HUMAN	779826	Homo sapiens	phosphorylase, glycogen; brain
PGFRA_MOUSE	471587	Mus musculus	platelet derived growth factor receptor, alpha polypeptide
MPIP3_HUMAN	817790	Homo sapiens	cell division cycle 25 homolog C (S. pombe)
MMP11_HUMAN	781006	Homo sapiens	matrix metallopeptidase 11 (stromelysin 3)
TOPK_HUMAN	816657	Homo sapiens	PDZ binding kinase
PDK2_RAT	398560	Rattus norvegicus	pyruvate dehydrogenase kinase, isozyme 2
KPBB_HUMAN	796352	Homo sapiens	phosphorylase kinase, beta
VDR_CHICK	1208832	Gallus gallus	vitamin D (1,25- dihydroxyvitamin D3) receptor
PLCB_HUMAN	809750	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)
KS6B2_HUMAN	800609	Homo sapiens	ribosomal protein S6 kinase, 70kDa, polypeptide 2
NDUA8_HUMAN	786726	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa
MPI_HUMAN	809887	Homo sapiens	mannose phosphate isomerase
KPCA_MOUSE	429664	Mus musculus	protein kinase C, alpha
SL9A3_RABIT	543983	Oryctolagus cuniculus	Na/H exchanger 3
NOS1_MOUSE	462870	Mus musculus	nitric oxide synthase 1, neuronal
Q8WMX0_BOVIN	595287	Bos taurus	cholinergic receptor, muscarinic 1
RHOA_HUMAN	814431	Homo sapiens	ras homolog gene family, member A
STK10_HUMAN	821222	Homo sapiens	serine/threonine kinase 10
NR1H4_HUMAN	791510	Homo sapiens	nuclear receptor subfamily 1, group H, member 4
PRSS8_HUMAN	799162	Homo sapiens	protease, serine, 8
PGDH_HUMAN	794806	Homo sapiens	hydroxyprostaglandin dehydrogenase 15-(NAD)
PPBT_HUMAN	810266	Homo sapiens	alkaline phosphatase, liver/bone/kidney
PHO85_YEAST	3129520	Saccharomyces cerevisiae	Cyclin-dependent protein kinase PHO85
MGLL_MOUSE	440665	Mus musculus	monoglyceride lipase
MMP2_RAT	383435	Rattus norvegicus	matrix metallopeptidase 2
TRY2_RAT	396173	Rattus norvegicus	protease, serine, 2; similar to protease, serine, 3 (mesotrypsin); similar to Anionic trypsin II precursor (Pretrypsinogen II)
MAPK2_HUMAN	820715	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 2
PAI1_HUMAN	796346	Homo sapiens	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
TARB1_HUMAN	817248	Homo sapiens	TAR (HIV-1) RNA binding protein 1
M3K1_HUMAN	816836	Homo sapiens	mitogen-activated protein kinase kinase kinase 1
NMD3A_RAT	391406	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
S5A1_RAT	397424	Rattus norvegicus	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
MK12_HUMAN	816883	Homo sapiens	mitogen-activated protein kinase 12
M4K4_HUMAN	804876	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 4
SC6A9_RAT	386407	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
LACTB_HUMAN	826709	Homo sapiens	lactamase, beta
KISSR_RAT	392283	Rattus norvegicus	KISS1 receptor
RET7_HUMAN	788320	Homo sapiens	retinol binding protein 7, cellular
NDUS8_HUMAN	815545	Homo sapiens	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)
PAOX_HUMAN	824574	Homo sapiens	polyamine oxidase (exo-N4-amino)
Q63380_RAT	397344	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
PEPC_HUMAN	802277	Homo sapiens	progastricsin (pepsinogen C)
OXYR_HUMAN	780117	Homo sapiens	oxytocin receptor
MDHC_HUMAN	796130	Homo sapiens	malate dehydrogenase 1, NAD (soluble)
MDHM_PIG	618190	Sus scrofa	malate dehydrogenase 2, NAD (mitochondrial)
SSR3_HUMAN	800157	Homo sapiens	somatostatin receptor 3
MARK4_HUMAN	784780	Homo sapiens	MAP/microtubule affinity-regulating kinase 4
MDR1_MOUSE	452878	Mus musculus	ATP-binding cassette, sub-family B (MDR/TAP), member 1B
ULK3_MOUSE	458183	Mus musculus	unc-51-like kinase 3 (C. elegans)
TRAP1_HUMAN	775341	Homo sapiens	TNF receptor-associated protein 1
