GeneSymbol1	GeneSymbol2	Distance
ERR1	NR2E1	0.099
ERR1	RRAGD	0.704
ERR1	TF2B	0.346
ERR1	JUN	0.773
ERR1	AAPK2	0.71
ERR1	PTEN	0.772
ERR1	NCOA3	0.258
ERR1	J3KPA4	0.773
ERR1	ERI3	0.771
ERR1	TREF1	0.804
ERR1	RRAGC	0.704
ERR1	4EBP2	0.709
ERR1	HDAC8	0.367
ERR1	STF1	0.096
ERR1	SDF1	0.802
ERR1	DDAH2	0.672
ERR1	J3KPD9	0.843
ERR1	TLE1	0.79
ERR1	RORB	0.101
ERR1	PK3CD	0.772
ERR1	ACACB	0.808
ERR1	PRD16	0.703
ERR1	NR0B1	0.716
ERR1	FOXO1	0.799
ERR1	RS6	0.773
ERR1	GABP1	0.79
ERR1	FKB1A	0.772
ERR1	DDAH2	0.674
ERR1	LYST	0.387
ERR1	AKT2	0.771
ERR1	VKOR1	0.844
ERR1	BMP7	0.777
ERR1	HNF4G	0.097
ERR1	AKP8L	0.8
ERR1	NSF	0.8
ERR1	F8W7T1	0.379
ERR1	GRIK1	0.8
ERR1	CD11A	0.815
ERR1	CLD5	0.807
ERR1	ELAV1	0.771
ERR1	OR1C1	0.82
ERR1	ERR3	0.007
ERR1	CREB1	0.765
ERR1	TNFA	0.841
ERR1	EXOS6	0.351
ERR1	NCOA2	0.648
ERR1	ERN1	0.799
ERR1	SUMO2	0.712
ERR1	KAT8	0.397
ERR1	ACADM	0.735
ERR1	DDAH2	0.674
ERR1	MDM2	0.614
ERR1	RXRA	0.097
ERR1	ENW1	0.773
ERR1	TFAM	0.631
FKBP4	CFTR	0.8
FKBP4	SYPL1	0.732
FKBP4	PPP5	0.849
FKBP4	NDKA	0.827
FKBP4	OSTM1	0.797
FKBP4	E2AK1	0.821
FKBP4	NCKX6	0.837
FKBP4	ESR1	0.271
FKBP4	TECR	0.811
FKBP4	LEG1	0.812
FKBP4	F10A1	0.801
FKBP4	RBX1	0.827
FKBP4	RIPK3	0.431
FKBP4	FKBP3	0.827
FKBP4	AHSA1	0.281
FKBP4	CSK21	0.072
FKBP4	J3KMW3	0.494
FKBP4	MMP2	0.792
FKBP4	X6R2L4	0.829
FKBP4	RNH2A	0.846
FKBP4	TGFB1	0.807
FKBP4	CDC37	0.459
FKBP4	RL18A	0.813
FKBP4	FKBP8	0.84
FKBP4	RPA43	0.802
FKBP4	ODO1	0.712
FKBP4	FKB14	0.828
FKBP4	PPIF	0.693
FKBP4	AATF	0.813
FKBP4	M2OM	0.85
FKBP4	C1QBP	0.812
FKBP4	IL2	0.82
FKBP4	HSP7C	0.629
FKBP4	MGP	0.82
FKBP4	B4DNZ6	0.842
FKBP4	G3P	0.769
FKBP4	ENOG	0.829
FKBP4	BYST	0.781
FKBP4	SKP1	0.821
FKBP4	GCR	0.158
FKBP4	BCL6	0.772
FKBP4	CH10	0.75
FKBP4	CANB1	0.788
FKBP4	ENOA	0.829
FKBP4	CLCA1	0.28
FKBP4	5NT1A	0.835
FKBP4	EBP2	0.844
FKBP4	TENN	0.813
FKBP4	AHR	0.479
FKBP4	NT5C	0.817
FKBP4	DEST	0.824
FKBP4	GSCR2	0.725
FKBP4	HSP72	0.61
FKBP4	CALX	0.818
FKBP4	PIN1	0.443
FKBP4	HSPB1	0.849
FKBP4	THTR	0.759
FKBP4	HBA	0.817
FKBP4	TOM40	0.736
FKBP4	EPO	0.8
FKBP4	TIF1B	0.841
FKBP4	SSF1	0.833
FKBP4	PPIL4	0.429
FKBP4	GSE1	0.84
FKBP4	NR1H2	0.828
FKBP4	DNJB1	0.678
FKBP4	SAS10	0.846
FKBP4	NIP7	0.7
FKBP4	HPBP1	0.62
FKBP4	IF2A	0.83
FKBP4	J3KN11	0.835
FKBP4	NAT10	0.792
FKBP4	CDK4	0.718
FKBP4	TCPH	0.461
FKBP4	TBRG4	0.578
FKBP4	NMT1	0.842
FKBP4	IMP4	0.762
FKBP4	HINT2	0.477
FKBP4	NRM	0.84
FKBP4	PPIG	0.771
FKBP4	ITAV	0.772
FKBP4	MYPT1	0.821
FKBP4	Q71TU5	0.748
FKBP4	SGCA	0.84
FKBP4	TEBP	0.378
FKBP4	MCM4	0.821
FKBP4	DNJA3	0.809
FKBP4	SMUF2	0.753
FKBP4	CSK22	0.656
FKBP4	TRPC5	0.089
FKBP4	MK03	0.776
FKBP4	PAHX	0.033
FKBP4	ICK	0.835
FKBP4	ARFG3	0.816
FKBP4	TYRO	0.764
FKBP4	EED	0.838
FKBP4	SIAE	0.838
FKBP4	ACVR1	0.782
FKBP4	AKT3	0.744
FKBP4	VGFR2	0.781
FKBP4	TBB4A	0.734
FKBP4	LXN	0.798
FKBP4	PSMD3	0.85
FKBP4	PPM1G	0.833
FKBP4	TRPV5	0.171
FKBP4	CUL7	0.807
FKBP4	MDR1	0.811
FKBP4	SORCN	0.82
FKBP4	MTG8	0.82
FKBP4	TF2H1	0.771
FKBP4	P3C2A	0.391
FKBP4	TEF	0.817
FKBP4	J3KN52	0.824
FKBP4	CDK2	0.83
FKBP4	MYG1	0.841
FKBP4	UN45B	0.829
FKBP4	P53	0.823
FKBP4	ERBB2	0.807
FKBP4	SH3G1	0.771
FKBP4	AKT1	0.633
FKBP4	DMWD	0.784
FKBP4	SAE1	0.69
FKBP4	TIM44	0.61
FKBP4	PDIA6	0.84
FKBP4	CALM	0.1
FKBP4	VPS54	0.845
FKBP4	FRIH	0.762
FKBP4	NHP2	0.838
FKBP4	EGFR	0.746
FKBP4	TCPZ	0.691
FKBP4	TERF1	0.817
FKBP4	SGMR1	0.836
FKBP4	ESAM	0.805
FKBP4	AIP	0.812
FKBP4	RM49	0.837
FKBP4	TCPE	0.807
FKBP4	AKAP6	0.629
FKBP4	SYFB	0.837
FKBP4	SCN2A	0.692
FKBP4	MK67I	0.697
FKBP4	PDIA4	0.84
FKBP4	TCPQ	0.693
FKBP4	AAKG2	0.548
FKBP4	CALM	0.1
FKBP4	S100B	0.821
FKBP4	TNNT1	0.838
FKBP4	S10A1	0.433
FKBP4	PRS7	0.8
FKBP4	HBE	0.824
FKBP4	WNT1	0.8
FKBP4	RPC10	0.786
FKBP4	REL	0.813
FKBP4	SFRP3	0.837
FKBP4	PPBN	0.84
FKBP4	IHH	0.82
FKBP4	ALBU	0.701
FKBP4	PARPT	0.84
FKBP4	FLNB	0.843
FKBP4	ITB5	0.637
FKBP4	RPAB3	0.82
FKBP4	OPSD	0.82
FKBP4	P3H1	0.777
FKBP4	HS74L	0.693
FKBP4	ABCE1	0.84
FKBP4	GRP75	0.825
FKBP4	PRS6A	0.807
FKBP4	FRS2	0.835
FKBP4	TCPB	0.638
FKBP4	PAI2	0.274
FKBP4	ENPL	0.8
FKBP4	PPIB	0.589
FKBP4	PHB	0.777
FKBP4	LOXH1	0.571
FKBP4	CAH4	0.815
FKBP4	TSR1	0.846
FKBP4	PRDX2	0.849
FKBP4	B2CL1	0.805
FKBP4	PA2G4	0.532
FKBP4	ARAP2	0.81
FKBP4	HSP74	0.057
FKBP4	PPIC	0.823
FKBP4	DCXR	0.845
FKBP4	BCR	0.804
FKBP4	MPIP1	0.848
FKBP4	PPID	0.717
FKBP4	BOP1	0.792
FKBP4	STIP1	0.137
FKBP4	FOS	0.828
FKBP4	BGAL	0.776
FKBP4	ESCO2	0.802
FKBP4	OLR1	0.719
FKBP4	1433Z	0.848
FKBP4	TERT	0.792
FKBP4	RASH	0.845
FKBP4	HSP76	0.661
FKBP4	FBXW8	0.807
FKBP4	FKBP2	0.834
FKBP4	NAGPA	0.844
FKBP4	CASP3	0.807
FKBP4	RSF1	0.573
FKBP4	PTN2	0.288
FKBP4	HCDH	0.818
FKBP4	NIPS2	0.555
FKBP4	HNRPD	0.807
FKBP4	C2D1A	0.797
FKBP4	KLK3	0.835
FKBP4	ZHX2	0.815
FKBP4	PEX7	0.692
FKBP4	RNPS1	0.835
FKBP4	ATOX1	0.049
FKBP4	IF4G1	0.748
FKBP4	FKB10	0.846
FKBP4	TCPA	0.808
FKBP4	NOC2L	0.658
FKBP4	BL1S4	0.83
FKBP4	NUCL	0.8
FKBP4	RUVB1	0.768
FKBP4	H17B6	0.79
FKBP4	HS105	0.595
FKBP4	ANM5	0.84
FKBP4	NUDC	0.759
FKBP4	SYFA	0.727
FKBP4	CALR	0.793
FKBP4	NCOA1	0.799
FKBP4	RRS1	0.708
FKBP4	DCTP1	0.848
FKBP4	DPOE1	0.786
FKBP4	DAND5	0.82
FKBP4	CRTAP	0.776
FKBP4	AAKG1	0.538
FKBP4	GRP78	0.82
FKBP4	KC1D	0.66
FKBP4	FLII	0.577
FKBP4	PRGR	0.102
FKBP4	HS90B	0.218
FKBP4	TCPW	0.723
FKBP4	DC4L1	0.733
FKBP4	TSPOA	0.714
FKBP4	SIR7	0.719
FKBP4	GRPE2	0.838
FKBP4	RS27L	0.848
FKBP4	ENKUR	0.825
FKBP4	IP6K2	0.69
FKBP4	MO4L1	0.844
FKBP4	SPB8	0.772
FKBP4	FES	0.351
FKBP4	ACTG	0.793
FKBP4	AEN	0.84
FKBP4	SH3BG	0.709
FKBP4	IPSP	0.759
FKBP4	BASI	0.694
FKBP4	HBB	0.726
FKBP4	CEI	0.826
FKBP4	HS90A	0.003
FKBP4	NAA20	0.828
FKBP4	FSD2	0.738
FKBP4	IF5A1	0.848
FKBP4	ARHG1	0.843
FKBP4	V2R	0.782
FKBP4	ZBT16	0.773
FKBP4	BAG5	0.703
FKBP4	BRX1	0.695
FKBP4	ATGA1	0.568
FKBP4	J3KNS5	0.372
FKBP4	SRR	0.838
FKBP4	FOXO3	0.232
FKBP4	MYB	0.84
FKBP4	CH60	0.582
FKBP4	SH3B4	0.576
FKBP4	ASM	0.704
FKBP4	TAU	0.339
FKBP4	CISY	0.717
FKBP4	SP100	0.82
FKBP4	UBC	0.705
FKBP4	LYAR	0.845
FKBP4	RL3	0.83
FKBP4	RL22	0.812
FKBP4	S10A4	0.751
FKBP4	RINI	0.841
FKBP4	PESC	0.834
FKBP4	FINC	0.809
FKBP4	RET	0.805
FKBP4	S17A5	0.832
FKBP4	ATTY	0.823
FKBP4	PSD12	0.826
FKBP4	UBA5	0.568
FKBP4	RAGP1	0.816
FKBP4	ERG7	0.833
FKBP4	INSR2	0.799
FKBP4	CALM	0.041
FKBP4	ACTB	0.79
FKBP4	SERPH	0.826
FKBP4	TES	0.726
FKBP4	SRC	0.714
FKBP4	FL2D	0.793
FKBP4	ARNT	0.838
FKBP4	CLIP1	0.82
FKBP4	DPOLZ	0.787
FKBP4	TERA	0.824
FKBP4	PTPA	0.775
FKBP4	DYH8	0.774
FKBP4	TRPV6	0.828
FKBP4	RYR1	0.837
FKBP4	ELF3	0.84
FKBP4	MYG	0.66
FKBP4	DDA1	0.732
FKBP4	KC1E	0.636
FKBP4	TCPQM	0.829
FKBP4	DHDDS	0.835
FKBP4	MAK16	0.844
FKBP4	TRPM6	0.841
FKBP4	NOG1	0.725
FKBP4	RRBP1	0.801
FKBP4	MTOR	0.771
FKBP4	SMUF1	0.771
FKBP4	DCTN1	0.823
FKBP4	CI114	0.84
FKBP4	CO6A1	0.815
FKBP4	CD47	0.807
FKBP4	OPN3	0.823
FKBP4	RYR2	0.717
FKBP4	TOM20	0.8
FKBP4	PRKN2	0.816
FKBP4	PGH2	0.843
FKBP4	TPR	0.604
FKBP4	CYBP	0.739
FKBP4	B4DUR8	0.462
FKBP4	LMNA	0.838
FKBP4	S10A2	0.325
FKBP4	S10A6	0.297
FKBP4	S10A8	0.809
FKBP4	S10A9	0.841
FKBP4	MCL1	0.815
FKBP4	TXNIP	0.697
FKBP4	DKC1	0.839
FKBP4	RRP5	0.825
FKBP4	C56D1	0.814
FKBP4	SFXN2	0.834
FKBP4	ODB2	0.829
FKBP4	RL5	0.74
FKBP4	GLMN	0.013
FKBP4	CLCA2	0.73
FKBP4	RPF1	0.809
FKBP4	PAIRB	0.824
FKBP4	INADL	0.664
FKBP4	JUN	0.804
FKBP4	NOC3L	0.712
FKBP4	C2D1B	0.797
FKBP4	J3KPA4	0.818
FKBP4	TNR5	0.807
FKBP4	TIE1	0.805
FKBP4	SHLB2	0.31
FKBP4	SET	0.81
FKBP4	TPPC3	0.842
FKBP4	PPIL1	0.759
FKBP4	TLR4	0.813
FKBP4	ZN593	0.767
FKBP4	MPRA	0.804
FKBP4	GDF5	0.757
FKBP4	IF6	0.823
FKBP4	PPBT	0.843
FKBP4	ITB1	0.8
FKBP4	TGFR1	0.76
FKBP4	MRT4	0.833
FKBP4	HSP71	0.661
FKBP4	HSP71	0.477
FKBP4	HS71L	0.613
FKBP4	J3KPD6	0.674
FKBP4	MYC	0.8
FKBP4	CKAP2	0.805
FKBP4	NMT2	0.842
FKBP4	ESTD	0.837
FKBP4	DPOLA	0.787
FKBP4	EDN1	0.773
FKBP4	TRPC3	0.82
FKBP4	TRPC4	0.676
FKBP4	IPO7	0.818
FKBP4	POSTN	0.323
FKBP4	KC1AL	0.748
FKBP4	DNJA1	0.693
FKBP4	NHS	0.843
FKBP4	ITPA	0.839
FKBP4	S100G	0.771
FKBP4	HBD	0.748
FKBP4	EMIL1	0.844
FKBP4	ILEU	0.812
FKBP4	IRF4	0.299
FKBP4	DUT	0.709
FKBP4	MPDZ	0.664
FKBP4	NOP56	0.822
FKBP4	MBB1A	0.844
FKBP4	FKB1A	0.347
FKBP4	PUR2	0.822
FKBP4	CD37L	0.473
FKBP4	HS71L	0.663
FKBP4	COLQ	0.817
FKBP4	HSP71	0.661
FKBP4	HSP71	0.661
FKBP4	PPB1	0.838
FKBP4	AKT2	0.744
FKBP4	TCPD	0.794
FKBP4	CDC23	0.765
FKBP4	T2AG	0.842
FKBP4	TPIS	0.808
FKBP4	RT34	0.848
FKBP4	K0020	0.695
FKBP4	DOT1L	0.835
FKBP4	DTNA	0.843
FKBP4	J3KPX7	0.697
FKBP4	NOP2	0.787
FKBP4	PUR6	0.736
FKBP4	HSP71	0.661
FKBP4	ZC3H8	0.846
FKBP4	PSDE	0.828
FKBP4	AASD1	0.682
FKBP4	CXCR4	0.805
FKBP4	RL40	0.728
FKBP4	TNFA	0.841
FKBP4	HSP71	0.517
FKBP4	J3KQE5	0.82
FKBP4	HS71L	0.571
FKBP4	NFAT5	0.84
FKBP4	ACL6A	0.845
FKBP4	NRM	0.838
FKBP4	CN164	0.799
FKBP4	RPF2	0.643
FKBP4	HSP71	0.661
FKBP4	HSP71	0.488
FKBP4	G5E9P1	0.759
FKBP4	HSP71	0.488
FKBP4	DNJC7	0.802
FKBP4	UN45A	0.735
FKBP4	HS71L	0.663
FKBP4	HSP71	0.661
FKBP4	DCTN2	0.714
FKBP4	NRM	0.838
FKBP4	FKBP7	0.842
FKBP4	SESD1	0.726
FKBP4	GDN	0.813
FKBP4	PP2AA	0.849
FKBP4	PPIA	0.389
FKBP4	EIF1	0.85
CP26B	CP51A	0.581
CP26B	CBLN4	0.816
CP26B	PIGB	0.841
CP26B	DDTL	0.587
CP26B	DOPD	0.794
CP26B	DMC1	0.81
CP26B	CP24A	0.8
CP26B	CC113	0.726
CP26B	FA2H	0.786
CP26B	FDFT	0.759
CP26B	CP4F3	0.822
CP26B	MIS	0.816
CP26B	CP4F2	0.808
CP26B	CP343	0.073
CP26B	CP3A5	0.073
CP26B	AIMP2	0.843
CP26B	CP26A	0.843
CP26B	CP27B	0.787
CP26B	FZD10	0.84
CP26B	ISL1	0.838
CP26B	SYRC	0.122
CP26B	CDX1	0.847
CP26B	RET2	0.682
CP26B	AAAD	0.798
CP26B	RDH10	0.665
CP26B	BMP4	0.826
CP26B	SOX9	0.701
CP26B	CP4FB	0.844
CP26B	AL1A2	0.047
CP26B	UD2A3	0.101
CP26B	TDRD1	0.74
CP26B	MNX1	0.84
CP26B	WDR44	0.82
CP26B	RARA	0.765
CP26B	DHB7	0.59
CP26B	ERG28	0.845
CP26B	RDH1	0.82
CP26B	NSMA	0.732
CP26B	CP27A	0.768
CP26B	THSD1	0.835
CP26B	PO5F1	0.829
CP26B	CP19A	0.781
CP26B	CP1B1	0.649
CP26B	CP2C9	0.091
CP26B	PPIG	0.82
CP26B	YPEL5	0.832
CP26B	HHAT	0.772
CP26B	MSMO1	0.407
CP26B	POMT2	0.841
CP26B	CP46A	0.828
CP26B	CECR2	0.847
CP26B	THAS	0.785
CP26B	SC5D	0.241
CP26B	MTRR	0.797
CP26B	UDB10	0.101
CP26B	AL8A1	0.833
CP26B	ERG1	0.487
CP26B	SYCP3	0.57
CP26B	CP11A	0.761
CP26B	ABHD2	0.82
CP26B	DNM3L	0.734
CP26B	LBR	0.797
CP26B	MEIS1	0.844
CP26B	CP39A	0.728
CP26B	STRA8	0.325
CP26B	SGMR1	0.573
CP26B	ERG24	0.797
CP26B	CCD83	0.754
CP26B	CP2CI	0.086
CP26B	UD2A1	0.101
CP26B	IRX6	0.765
CP26B	C11B1	0.762
CP26B	SOX8	0.829
CP26B	RFC4	0.82
CP26B	SHH	0.804
CP26B	T184A	0.719
CP26B	AL1A1	0.061
CP26B	PIWL4	0.81
CP26B	RABP1	0.74
CP26B	CP2A6	0.072
CP26B	UD16	0.101
CP26B	UBB	0.627
CP26B	EST3	0.804
CP26B	UD2B7	0.1
CP26B	UD2B4	0.101
CP26B	PRS27	0.799
CP26B	RDHE2	0.82
CP26B	CP2S1	0.719
CP26B	CP2W1	0.818
CP26B	TOPZ1	0.826
CP26B	HHATL	0.767
CP26B	CP4AB	0.085
CP26B	DPOD4	0.681
CP26B	LOXE3	0.8
CP26B	DHRS9	0.813
CP26B	FDSCP	0.82
CP26B	TF2LY	0.838
CP26B	BHE22	0.824
CP26B	UDB17	0.101
CP26B	CP4FC	0.813
CP26B	HMCS1	0.834
CP26B	E9PC33	0.832
CP26B	CP2B6	0.078
CP26B	C11B2	0.772
CP26B	STRA6	0.571
CP26B	ZBT7C	0.799
CP26B	IRX3	0.838
CP26B	EPHB3	0.84
CP26B	AL1A3	0.626
CP26B	RARB	0.656
CP26B	CP2AD	0.088
CP26B	RARG	0.653
CP26B	FOXL2	0.8
CP26B	CP2U1	0.741
CP26B	CP2F1	0.796
CP26B	C27C1	0.747
CP26B	CP2R1	0.795
CP26B	NIBL2	0.812
CP26B	CCD68	0.818
CP26B	LRAT	0.52
CP26B	CP3A7	0.089
CP26B	CP3A4	0.078
CP26B	CRGN	0.82
CP26B	DPPA3	0.838
CP26B	NANO2	0.194
CP26B	UDB15	0.101
CP26B	CYB5	0.714
CP26B	ALKMO	0.845
CP26B	NANO3	0.626
CP26B	CP1A2	0.083
CP26B	UD110	0.1
CP26B	UBC	0.627
CP26B	UD19	0.1
CP26B	APCD1	0.799
CP26B	SYT17	0.805
CP26B	DHCR7	0.794
CP26B	CP20A	0.843
CP26B	ERG7	0.475
CP26B	RSPO1	0.817
CP26B	TRM1	0.731
CP26B	TF2LX	0.838
CP26B	HXB1	0.746
CP26B	LHX9	0.826
CP26B	RABP2	0.573
CP26B	DPM3	0.797
CP26B	HEM4	0.798
CP26B	CRCT1	0.827
CP26B	HMCS2	0.834
CP26B	CP17A	0.792
CP26B	NOE3	0.841
CP26B	S35A3	0.751
CP26B	NSDHL	0.812
CP26B	CP2J2	0.618
CP26B	AAPK2	0.682
CP26B	SPO11	0.823
CP26B	CP2C8	0.091
CP26B	CP2CJ	0.071
CP26B	CP4AM	0.087
CP26B	CP4X1	0.674
CP26B	CP4B1	0.779
CP26B	LIPJ	0.829
CP26B	TAF7L	0.757
CP26B	UD14	0.1
CP26B	UD15	0.1
CP26B	UD17	0.099
CP26B	UD18	0.1
CP26B	PAGE2	0.804
CP26B	DHRS3	0.72
CP26B	GBA2	0.751
CP26B	AARD	0.827
CP26B	CP4V2	0.824
CP26B	NR0B1	0.8
CP26B	CP1A1	0.082
CP26B	SOLH2	0.816
CP26B	DMRT1	0.788
CP26B	FGF9	0.66
CP26B	SRY	0.771
CP26B	P5F1B	0.829
CP26B	MON2	0.733
CP26B	RDH16	0.817
CP26B	LCMT1	0.818
CP26B	DSPP	0.84
CP26B	DAZL	0.699
CP26B	SLIK6	0.824
CP26B	ELAV1	0.785
CP26B	UROL1	0.841
CP26B	HEM2	0.798
CP26B	ASB18	0.804
CP26B	NANO1	0.729
CP26B	O11A1	0.729
CP26B	O11A1	0.729
CP26B	PO5F1	0.804
CP26B	CP21A	0.767
CP26B	PO5F1	0.81
CP26B	Q16874	0.764
CP26B	DEP1A	0.785
CP26B	UD13	0.101
CP26B	RGAG4	0.693
CP26B	RXRA	0.815
NDUF7	DIM1	0.681
NDUF7	P5CR3	0.824
NDUF7	NDUS1	0.67
NDUF7	NDUS7	0.762
NDUF7	NDUB3	0.464
NDUF7	ZFY26	0.799
NDUF7	CIA30	0.475
NDUF7	THUM2	0.458
NDUF7	NDUS3	0.628
NDUF7	KPRB	0.804
NDUF7	ECSIT	0.576
NDUF7	NDUBB	0.824
NDUF7	PTPS	0.805
NDUF7	CLP1L	0.8
NDUF7	NSD3	0.845
NDUF7	TRMB	0.818
NDUF7	NDUS8	0.595
NDUF7	LACC1	0.528
NDUF7	P5CR1	0.824
NDUF7	NSD2	0.845
NDUF7	NDUAC	0.606
NDUF7	CLPT1	0.8
NDUF7	CH60	0.805
NDUF7	NELFD	0.799
NDUF7	P5CR2	0.824
NDUF7	PPOX	0.58
NDUF7	PROD	0.808
NDUF7	NDUS2	0.509
NDUF7	CD5L	0.571
NDUF7	OAT	0.68
NDUF7	NDUF4	0.468
NDUF7	NDUA1	0.843
NDUF7	PRPS1	0.804
NDUF7	NDUF5	0.31
NDUF7	NDUF6	0.349
NDUF7	ZCPW1	0.845
NDUF7	PRPS2	0.804
NDUF7	KPRA	0.804
FUCO2	J3QQ64	0.767
FUCO2	B4GT7	0.792
FUCO2	CBPB2	0.54
FUCO2	GNPTG	0.535
FUCO2	AGAL	0.757
FUCO2	TPA	0.765
FUCO2	MANBA	0.804
FUCO2	YBOX3	0.842
FUCO2	ENOA	0.74
FUCO2	PLBL1	0.818
FUCO2	HEXB	0.598
FUCO2	CECR1	0.838
FUCO2	SIAE	0.781
FUCO2	HEXA	0.749
FUCO2	ERBB2	0.807
FUCO2	PDIA6	0.774
FUCO2	ITIH1	0.843
FUCO2	NICN1	0.841
FUCO2	NGLY1	0.66
FUCO2	FUK	0.821
FUCO2	GNPTA	0.575
FUCO2	NEUFC	0.833
FUCO2	KLK1	0.693
FUCO2	CO3A1	0.754
FUCO2	ELOV6	0.798
FUCO2	FIBA	0.709
FUCO2	B4GT6	0.797
FUCO2	BGAL	0.765
FUCO2	PLMN	0.341
FUCO2	CHST1	0.8
FUCO2	FHR1	0.703
FUCO2	BPNT1	0.8
FUCO2	APOA	0.698
FUCO2	GANC	0.816
FUCO2	GANAB	0.823
FUCO2	TP4A2	0.797
FUCO2	KAD2	0.703
FUCO2	PLGB	0.212
FUCO2	NCUG1	0.833
FUCO2	BECN1	0.701
FUCO2	CFAH	0.771
FUCO2	ASM3A	0.85
FUCO2	PGM1	0.745
FUCO2	B4GT5	0.746
FUCO2	MMP9	0.805
FUCO2	UROK	0.771
FUCO2	CHST3	0.797
FUCO2	NP1L2	0.797
FUCO2	NP1L6	0.84
FUCO2	NEUR1	0.726
FUCO2	CLYBL	0.838
FUCO2	LEG7	0.818
FUCO2	ARSK	0.8
FUCO2	GMDS	0.843
FUCO2	X6RAH8	0.748
FUCO2	NAGAB	0.685
FUCO2	NEUR1	0.695
FUCO2	68MP	0.843
FUCO2	CASP1	0.802
FUCO2	IAH1	0.824
HS3S1	XYLT2	0.759
HS3S1	CHPF2	0.812
HS3S1	PRS6B	0.771
HS3S1	HEP2	0.771
HS3S1	EXTL3	0.842
HS3S1	ST1E1	0.74
HS3S1	CHSS2	0.798
HS3S1	CDO1	0.85
HS3S1	PVRL2	0.724
HS3S1	CHSS1	0.818
HS3S1	SDC1	0.09
HS3S1	EHF	0.804
HS3S1	CHSTC	0.781
HS3S1	H6ST1	0.067
HS3S1	MMP7	0.849
HS3S1	HS3S2	0.828
HS3S1	E41LA	0.82
HS3S1	COX10	0.781
HS3S1	NDST1	0.091
HS3S1	GLCE	0.062
HS3S1	PVRL1	0.724
HS3S1	GPC1	0.081
HS3S1	CHSTA	0.727
HS3S1	NDST4	0.095
HS3S1	GNT2C	0.278
HS3S1	FGF7	0.84
HS3S1	TNR11	0.571
HS3S1	THS7B	0.755
HS3S1	ROP1L	0.82
HS3S1	CHST7	0.782
HS3S1	J3KN83	0.807
HS3S1	MGT5A	0.764
HS3S1	HS3SA	0.824
HS3S1	CSF1R	0.787
HS3S1	ATL3	0.828
HS3S1	SO2B1	0.809
HS3S1	GPC2	0.091
HS3S1	PDZ1I	0.846
HS3S1	NDST3	0.094
HS3S1	J3KNC8	0.093
HS3S1	M4A8	0.781
HS3S1	TPST1	0.592
HS3S1	SPYA	0.848
HS3S1	CHSS3	0.66
HS3S1	CB027	0.701
HS3S1	HYAS3	0.742
HS3S1	ZNHI1	0.832
HS3S1	CHSTB	0.692
HS3S1	SDC2	0.088
HS3S1	HPSE	0.738
HS3S1	CDRT4	0.836
HS3S1	SO2A1	0.839
HS3S1	C1QB	0.742
HS3S1	SPHM	0.604
HS3S1	GCNT4	0.206
HS3S1	CHSTD	0.733
HS3S1	ZMYM4	0.832
HS3S1	CHSTF	0.695
HS3S1	FGF1	0.771
HS3S1	IDS	0.843
HS3S1	TPST2	0.736
HS3S1	CHST4	0.8
HS3S1	NMES1	0.799
HS3S1	EXT2	0.695
HS3S1	TEKT3	0.785
HS3S1	SDC3	0.086
HS3S1	UBC	0.843
HS3S1	CB027	0.726
HS3S1	TNR14	0.695
HS3S1	RAB4B	0.799
HS3S1	C163A	0.813
HS3S1	PLAC1	0.848
HS3S1	ZSWM5	0.771
HS3S1	SULF2	0.849
HS3S1	HS3SB	0.825
HS3S1	WISP3	0.847
HS3S1	ANT3	0.28
HS3S1	SH21B	0.781
HS3S1	ACKR1	0.576
HS3S1	EXTL2	0.829
HS3S1	HS2ST	0.09
HS3S1	GPC3	0.086
HS3S1	GPC4	0.096
HS3S1	SDC4	0.085
HS3S1	CHST3	0.73
HS3S1	C1QA	0.83
HS3S1	PGBM	0.094
HS3S1	VSIG4	0.841
HS3S1	H6ST3	0.068
HS3S1	GCNT1	0.222
HS3S1	GPC6	0.095
HS3S1	GPC5	0.092
HS3S1	TRBM	0.84
HS3S1	EXT1	0.759
HS3S1	LEG7	0.84
HS3S1	AGRIN	0.101
HS3S1	S35B3	0.799
HS3S1	NKG2E	0.276
HS3S1	MTMRC	0.817
HS3S1	B3GT4	0.841
HS3S1	PTOV1	0.757
HS3S1	S35B2	0.798
HS3S1	CDRTF	0.571
HS3S1	PAPS2	0.845
HS3S1	ENW1	0.771
SEM3F	DLX6	0.842
SEM3F	CD4	0.771
SEM3F	NET1	0.46
SEM3F	EFNB1	0.784
SEM3F	EFNA2	0.799
SEM3F	HGF	0.8
SEM3F	EFNB3	0.816
SEM3F	G3P	0.824
SEM3F	ISL1	0.729
SEM3F	GNAT1	0.538
SEM3F	NPRL2	0.576
SEM3F	G3XA84	0.621
SEM3F	EFNB2	0.626
SEM3F	RRAS	0.729
SEM3F	ZEP3	0.795
SEM3F	F8VSZ4	0.488
SEM3F	MNX1	0.843
SEM3F	LAMA5	0.838
SEM3F	ARF3	0.812
SEM3F	EMX1	0.82
SEM3F	PLXC1	0.735
SEM3F	CD72	0.727
SEM3F	TSP1	0.795
SEM3F	B2L10	0.834
SEM3F	GUC2C	0.671
SEM3F	CADH1	0.74
SEM3F	NEO1	0.751
SEM3F	VGFR3	0.682
SEM3F	TYRO	0.828
SEM3F	IL7	0.625
SEM3F	VGFR2	0.634
SEM3F	FARP2	0.74
SEM3F	TXK	0.826
